#TITLE:Demons are a girls best friend
#ARTIST:Powerwolf
#LANGUAGE:English
#EDITION:Official
#GENRE:Metal
#YEAR:2018
#CREATOR:LDD
#MP3:POWERWOLF - Demons Are A Girls Best Friend.mp3
#VIDEO:POWERWOLF - Demons Are A Girls Best Friend.avi
#BPM:144.00
#GAP:28858
: 1149 2 4  de
: 1151 1 4 mons
: 1153 1 4  are
: 1155 1 4  a
: 1157 3 3  girl's
: 1162 2 -1  best
: 1166 5 1  friend
- 1190
: 1394 1 3 And
: 1396 1 3  when
: 1398 1 3  your
: 1400 4 4  sleep
: 1405 1 4  is
: 1407 1 4  haun
: 1409 1 3 ted
: 1411 1 1  in
: 1413 1 3  the
: 1415 6 4  night
- 1424
: 1426 1 -1 Girl,
: 1428 1 -1  don't
: 1430 1 -1  you
: 1432 4 6  dare
: 1438 1 6  to
: 1440 1 6  seek
: 1442 1 4  for
: 1444 2 3  can
: 1446 1 4 dle
: 1448 6 6  light
- 1456
: 1458 1 -3 Cause
: 1460 1 -3  in
: 1462 1 -3  the
: 1464 5 4  dark
: 1470 1 4  your
: 1472 2 4  de
: 1474 1 3 mons
: 1476 1 1  come
: 1478 1 3  as
: 1480 4 4  car
: 1484 3 1 nal
: 1488 11 3  dy
: 1499 4 3 na
: 1503 13 8 mite
- 1518
* 1520 3 3 O~h
* 1524 3 10 o~h
* 1528 4 8 o~h
* 1535 2 6  oh
* 1537 2 8 oh
* 1539 10 10 oh,
: 1552 2 8  de
: 1554 1 8 mons
: 1556 1 8  of
: 1558 1 8  the
: 1560 3 8  night
: 1564 1 8  come
: 1566 1 10  and
: 1568 3 11  take
: 1573 3 10  her
: 1577 4 10  hand
- 1582
: 1584 3 3 O~h
: 1588 3 10 o~h
: 1592 5 8 o~h
: 1599 2 6  oh
: 1601 2 8 oh
: 1603 7 10 oh,
: 1617 2 6  de
: 1619 1 6 mons
: 1621 1 6  are
: 1623 1 6  a
: 1625 3 5  girl's
: 1629 2 1  best
: 1633 1 3  friend
- 1634
: 1634 3 3 O~h
: 1638 3 10 o~h
: 1642 4 8 o~h
: 1647 2 6  oh
: 1649 2 8 oh
: 1651 6 10 oh,
: 1665 2 8  de
: 1667 1 8 mon
: 1669 1 8  'tween
: 1671 1 8  your
: 1673 3 8  thighs,
: 1677 1 8  come
: 1679 1 10  and
: 1681 3 11  make
: 1685 2 10  their
: 1689 5 10  stand
- 1695
: 1697 3 3 O~h
* 1701 3 10 o~h
: 1705 5 8 o~h
: 1712 2 6  oh
: 1714 2 8 oh
* 1716 7 10 oh,
: 1730 2 6  de
: 1732 1 6 mons
: 1734 1 6  are
: 1736 1 6  a
: 1738 3 5  girl's
: 1742 3 1  best
: 1746 14 3  friend
E
